 --- primitive lattice vectors ---
    34   0.0567331094  0.0903089987 -0.0250997004
    35  -0.0397179927  0.0538640775 -0.0006979313
    36   0.0327823610  0.0537934330 -0.0066973440
    37  -0.0400270697  0.0007241150  0.0096102983
    38   0.0326454314  0.0005233663 -0.0153109345
 n=    14 A   IR&R
     hbarW=  0.23955959E-03 Ha =  0.65187484E-02 eV; nu=  0.52577258E+02 cm^-1
    25  -0.0006537935 -0.1085557782 -0.0288964975
    26   0.0036981024  0.0522061910 -0.0616204444
    27  -0.0137571452  0.0729274536 -0.0304428781
    28   0.0052961302  0.0577595541  0.0711103664
    29  -0.0014754859  0.0518863545  0.2074725067
    30   0.0014786152  0.0596656954 -0.1698388183
    31  -0.0046515772  0.0941079317  0.0088020175
    32  -0.0009311070  0.1602586115 -0.0075869353
    33   0.0063615344 -0.5918038060 -0.0842956661
    34   0.0272158982 -0.5919835012  0.0807567547
    35  -0.0004538417 -0.1737205151 -0.0525039230
    36   0.0105561753 -0.1734485232  0.0535657740
    37  -0.0001532965 -0.1819131895 -0.0534782071
    38   0.0104051221 -0.1826118580  0.0514979207
 n=    15 A   IR&R
     hbarW=  0.25979876E-03 Ha =  0.70694845E-02 eV; nu=  0.57019244E+02 cm^-1
    25  -0.0074164559  0.0042381626 -0.4592260929
    26   0.0027591221 -0.0055243847 -0.5498247473
    27   0.0395843994 -0.0304930758 -0.0285675993
    28   0.0425329965  0.0210390041 -0.0078753756
    29  -0.0475788197  0.0212950320 -0.0310833892
    30  -0.0441993823 -0.0284976235 -0.0237881420
    31  -0.0000968146 -0.0035140367  0.4087077689
    32  -0.0047408136 -0.0068895642  0.5164324983
    33   0.0027206658  0.0242504720  0.1289473449
    34   0.0012550761  0.0318863002  0.1224484854
    35   0.0012583910  0.0074802106  0.0427010330
    36   0.0004921251  0.0087526481  0.0382371068
    37   0.0005295987  0.0081068561  0.0434580073
    38  -0.0002161514  0.0092940106  0.0391013057
 n=    16 A   IR&R
     hbarW=  0.50994680E-03 Ha =  0.13876359E-01 eV; nu=  0.11192040E+03 cm^-1
    25   0.0014563163  0.3786729216  0.0017833934
    26   0.0008545782 -0.2749812651 -0.0005194974
    27  -0.0719843168  0.0645529564  0.0223534700
    28   0.0727478803  0.0586000357 -0.0202647529
    29  -0.0742978695  0.0433752973 -0.0224309294
    30   0.0707986183  0.0464059455  0.0212193414
    31  -0.0036552158  0.4946725026 -0.0000647254
    32   0.0061789607 -0.6848172499  0.0020961829
    33  -0.0018521853 -0.0960882991  0.0598237458
    34   0.0017579452 -0.0959860342 -0.0616699489
    35  -0.0007326104 -0.0243197880  0.0324180789
    36   0.0005556660 -0.0243694188 -0.0341370320
    37  -0.0013135228 -0.0253182333  0.0336725243
    38   0.0011436522 -0.0252802157 -0.0330714853
 n=    17 A   IR&R
     hbarW=  0.51695827E-03 Ha =  0.14067151E-01 eV; nu=  0.11345924E+03 cm^-1
    25   0.2316438026 -0.0031770508 -0.0131295245
    26  -0.2789345053  0.0039396662  0.0083930383
    27  -0.0392238815  0.1043484134  0.0366172572
    28  -0.0448764024 -0.1046023385  0.0351599880
    29  -0.0816743354  0.0253119963 -0.0374412498
    30  -0.0777603371 -0.0250999224 -0.0379437731
    31  -0.4970575804 -0.0029927087 -0.0021673016
    32   0.7539407630  0.0042671165  0.0090578513
    33   0.0438753459  0.0033182883 -0.0002990606
    34   0.0439375582  0.0031392747  0.0000423817
    35   0.0082273951  0.0023071769 -0.0307264902
    36   0.0082301873 -0.0004271725 -0.0307785670
    37   0.0076656537 -0.0005409861  0.0301697670
    38   0.0076512778  0.0024274044  0.0304877608
 n=    18 A   IR&R
     hbarW=  0.52697732E-03 Ha =  0.14339783E-01 eV; nu=  0.11565816E+03 cm^-1
    25  -0.0225024707  0.0042573091 -0.1255957271
    26   0.0201435340 -0.0053702217  0.1308263346
    27   0.3644470527  0.3396819854 -0.0060934497
    28   0.3532017492 -0.3350773698 -0.0037736449
    29  -0.3494302196 -0.3463932460 -0.0033362492
    30  -0.3398572923  0.3417451521  0.0059145738
    31   0.0408601819 -0.0040957538 -0.0008162825
    32  -0.0642137857  0.0070202255 -0.0223412385
    33  -0.0018081428 -0.0007482564 -0.0045639015
    34  -0.0012396900 -0.0008669715 -0.0029037112
    35   0.0000829057 -0.0006092181  0.0017452942
    36   0.0003966809  0.0002767225  0.0027742335
    37  -0.0003382543 -0.0005801723 -0.0044184822
    38  -0.0000225532 -0.0002334929 -0.0034232104
 n=    19 A   IR&R
     hbarW=  0.55211460E-03 Ha =  0.15023804E-01 eV; nu=  0.12117516E+03 cm^-1
    25   0.0211360736  0.0037688814  0.0184151275
    26  -0.0221959969 -0.0050403704  0.0022120336
    27   0.3345195201 -0.3419682943  0.0397391966
    28   0.3377446472  0.3515372978  0.0377857737
    29  -0.3366924766  0.3440755017  0.0377396548
    30  -0.3378098892 -0.3526179327  0.0362822018
    31  -0.0119007549  0.0000664207  0.0950604234
    32   0.0194565938  0.0035747010 -0.2063231185
    33   0.0009851887 -0.0045831871 -0.0421670382
    34   0.0007819295 -0.0038220947 -0.0434014928
    35   0.0002438561 -0.0008909281 -0.0094420207
    36   0.0001016157 -0.0016704180 -0.0099063583
    37   0.0002909813 -0.0008979299 -0.0098807301
    38   0.0001485521 -0.0014699011 -0.0099909808
 n=    20 A   IR&R
     hbarW=  0.56017128E-03 Ha =  0.15243037E-01 eV; nu=  0.12294340E+03 cm^-1
    25  -0.0353269275 -0.0361336209 -0.0016101159
    26   0.0377717501  0.0443971786  0.0003524446
    27  -0.4622417610 -0.1787125189 -0.0118760354
    28   0.4685975575 -0.1883548147  0.0089008213
    29   0.4509750328  0.1822965441 -0.0021794520
    30  -0.4654545546  0.1863789772  0.0098512571
    31  -0.0114429989  0.0198900416 -0.0008879596
    32   0.0211248266 -0.0312632778 -0.0027354047
    33   0.0252753138  0.0028795779  0.0030560966
    34  -0.0305558858  0.0029885404 -0.0030489224
    35   0.0141482821 -0.0101961019  0.0028293366
    36  -0.0162400323 -0.0102903494 -0.0062742655
